crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	MPL-2.0	Unicode-3.0	Unlicense	Zlib	bzip2-1.0.6	zlib-acknowledgement
abi_stable@0.11.3		X									X							
abi_stable_derive@0.11.3		X									X							
abi_stable_shared@0.11.0		X									X							
adler2@2.0.1	X	X									X							
aes@0.8.4		X									X							
ahash@0.8.12		X									X							
aho-corasick@1.1.4											X				X			
alloc-no-stdlib@2.0.4					X													
alloc-stdlib@0.2.2					X													
allocator-api2@0.2.21		X									X							
android_system_properties@0.1.5		X									X							
anyhow@1.0.102		X									X							
apache-avro@0.21.0		X																
ar_archive_writer@0.5.1			X															
arc-swap@1.9.1		X									X							
arrayref@0.3.9				X														
arrayvec@0.7.6		X									X							
arrow@58.3.0		X																
arrow-arith@58.3.0		X																
arrow-array@58.3.0		X									X							
arrow-buffer@58.3.0		X																
arrow-cast@58.3.0		X																
arrow-csv@58.3.0		X																
arrow-data@58.3.0		X																
arrow-ipc@58.3.0		X																
arrow-json@58.3.0		X																
arrow-ord@58.3.0		X																
arrow-pyarrow@58.3.0		X																
arrow-row@58.3.0		X																
arrow-schema@58.3.0		X																
arrow-select@58.3.0		X																
arrow-string@58.3.0		X																
as_derive_utils@0.11.0		X									X							
async-compression@0.4.42		X									X							
async-ffi@0.5.0											X							
async-stream@0.3.6											X							
async-stream-impl@0.3.6											X							
async-trait@0.1.89		X									X							
atoi@2.0.0											X							
atomic-waker@1.1.2		X									X							
autocfg@1.5.0		X									X							
backon@1.6.0		X																
base64@0.22.1		X									X							
bigdecimal@0.4.10		X									X							
bitflags@2.11.1		X									X							
bitpacking@0.9.3											X							
blake2@0.10.6		X									X							
blake3@1.8.5		X	X				X											
block-buffer@0.10.4		X									X							
block-padding@0.3.3		X									X							
bon@3.9.1		X									X							
bon-macros@3.9.1		X									X							
brotli@8.0.2					X						X							
brotli-decompressor@5.0.0					X						X							
bumpalo@3.20.2		X									X							
bytemuck@1.25.0		X									X					X		
byteorder@1.5.0											X				X			
bytes@1.11.1											X							
bzip2@0.6.1		X									X							
cbc@0.1.2		X									X							
cc@1.2.62		X									X							
census@0.4.2											X							
cfg-if@1.0.4		X									X							
chrono@0.4.44		X									X							
chrono-tz@0.10.4		X									X							
cipher@0.4.4		X									X							
comfy-table@7.2.2											X							
compression-codecs@0.4.38		X									X							
compression-core@0.4.32		X									X							
const-oid@0.9.6		X									X							
const-random@0.1.18		X									X							
const-random-macro@0.1.16		X									X							
const_panic@0.2.15																X		
constant_time_eq@0.4.2		X					X					X						
core-foundation@0.10.1		X									X							
core-foundation@0.9.4		X									X							
core-foundation-sys@0.8.7		X									X							
core_extensions@1.5.4		X									X							
core_extensions_proc_macros@1.5.4		X									X							
cpufeatures@0.2.17		X									X							
cpufeatures@0.3.0		X									X							
crc@3.4.0		X									X							
crc-catalog@2.5.0		X									X							
crc32c@0.6.8		X									X							
crc32fast@1.5.0		X									X							
crossbeam-channel@0.5.15		X									X							
crossbeam-deque@0.8.6		X									X							
crossbeam-epoch@0.9.18		X									X							
crossbeam-utils@0.8.21		X									X							
crunchy@0.2.4											X							
crypto-common@0.1.7		X									X							
csv@1.4.0											X				X			
csv-core@0.1.13											X				X			
ctr@0.9.2		X									X							
darling@0.23.0											X							
darling_core@0.23.0											X							
darling_macro@0.23.0											X							
dashmap@6.2.1											X							
datafusion@53.1.0		X																
datafusion-catalog@53.1.0		X																
datafusion-catalog-listing@53.1.0		X																
datafusion-common@53.1.0		X																
datafusion-common-runtime@53.1.0		X																
datafusion-datasource@53.1.0		X																
datafusion-datasource-arrow@53.1.0		X																
datafusion-datasource-csv@53.1.0		X																
datafusion-datasource-json@53.1.0		X																
datafusion-datasource-parquet@53.1.0		X																
datafusion-doc@53.1.0		X																
datafusion-execution@53.1.0		X																
datafusion-expr@53.1.0		X																
datafusion-expr-common@53.1.0		X																
datafusion-ffi@53.1.0		X																
datafusion-functions@53.1.0		X																
datafusion-functions-aggregate@53.1.0		X																
datafusion-functions-aggregate-common@53.1.0		X																
datafusion-functions-nested@53.1.0		X																
datafusion-functions-table@53.1.0		X																
datafusion-functions-window@53.1.0		X																
datafusion-functions-window-common@53.1.0		X																
datafusion-macros@53.1.0		X																
datafusion-optimizer@53.1.0		X																
datafusion-physical-expr@53.1.0		X																
datafusion-physical-expr-adapter@53.1.0		X																
datafusion-physical-expr-common@53.1.0		X																
datafusion-physical-optimizer@53.1.0		X																
datafusion-physical-plan@53.1.0		X																
datafusion-proto@53.1.0		X																
datafusion-proto-common@53.1.0		X																
datafusion-pruning@53.1.0		X																
datafusion-session@53.1.0		X																
datafusion-sql@53.1.0		X																
deranged@0.5.8		X									X							
des@0.8.1		X									X							
diff@0.1.13		X									X							
digest@0.10.7		X									X							
displaydoc@0.2.5		X									X							
dlv-list@0.5.2		X									X							
dns-lookup@3.0.1		X									X							
downcast-rs@1.2.1		X									X							
either@1.15.0		X									X							
encoding_rs@0.8.35		X			X						X							
equivalent@1.0.2		X									X							
errno@0.3.14		X									X							
fallible-streaming-iterator@0.1.9		X									X							
fastdivide@0.4.2											X							X
fastrand@2.4.1		X									X							
find-msvc-tools@0.1.9		X									X							
fixedbitset@0.5.7		X									X							
flatbuffers@25.12.19		X																
flate2@1.1.9		X									X							
fnv@1.0.7		X									X							
foldhash@0.1.5																X		
foldhash@0.2.0																X		
foreign-types@0.3.2		X									X							
foreign-types-shared@0.1.1		X									X							
form_urlencoded@1.2.2		X									X							
fs4@0.8.4		X									X							
futures@0.3.32		X									X							
futures-channel@0.3.32		X									X							
futures-core@0.3.32		X									X							
futures-executor@0.3.32		X									X							
futures-io@0.3.32		X									X							
