crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
adler2@2.0.1	X	X									X			
aes@0.8.4		X									X			
ahash@0.8.12		X									X			
aho-corasick@1.1.4											X		X	
alloc-no-stdlib@2.0.4					X									
alloc-stdlib@0.2.2					X									
android_system_properties@0.1.5		X									X			
anyhow@1.0.102		X									X			
apache-avro@0.21.0		X												
arrow@58.1.0		X												
arrow-arith@58.1.0		X												
arrow-array@58.1.0		X												
arrow-buffer@58.1.0		X												
arrow-cast@58.1.0		X												
arrow-csv@58.1.0		X												
arrow-data@58.1.0		X												
arrow-ipc@58.1.0		X												
arrow-json@58.1.0		X												
arrow-ord@58.1.0		X												
arrow-row@58.1.0		X												
arrow-schema@58.1.0		X												
arrow-select@58.1.0		X												
arrow-string@58.1.0		X												
async-stream@0.3.6											X			
async-stream-impl@0.3.6											X			
async-trait@0.1.89		X									X			
atoi@2.0.0											X			
atomic-waker@1.1.2		X									X			
autocfg@1.5.0		X									X			
backon@1.6.0		X												
base64@0.22.1		X									X			
bigdecimal@0.4.10		X									X			
bitflags@2.9.1		X									X			
block-buffer@0.10.4		X									X			
block-padding@0.3.3		X									X			
bon@3.9.1		X									X			
bon-macros@3.9.1		X									X			
brotli@8.0.2					X						X			
brotli-decompressor@5.0.0					X						X			
bumpalo@3.19.0		X									X			
bytemuck@1.25.0		X									X			X
byteorder@1.5.0											X		X	
bytes@1.11.1											X			
cbc@0.1.2		X									X			
cc@1.2.56		X									X			
cfg-if@1.0.1		X									X			
chrono@0.4.44		X									X			
chrono-tz@0.10.4		X									X			
cipher@0.4.4		X									X			
comfy-table@7.2.2											X			
const-oid@0.9.6		X									X			
const-random@0.1.18		X									X			
const-random-macro@0.1.16		X									X			
core-foundation@0.10.1		X									X			
core-foundation@0.9.4		X									X			
core-foundation-sys@0.8.7		X									X			
cpufeatures@0.2.17		X									X			
crc@3.4.0		X									X			
crc-catalog@2.4.0		X									X			
crc32c@0.6.8		X									X			
crc32fast@1.5.0		X									X			
crunchy@0.2.4											X			
crypto-common@0.1.6		X									X			
csv@1.4.0											X		X	
csv-core@0.1.13											X		X	
ctr@0.9.2		X									X			
darling@0.20.11											X			
darling_core@0.20.11											X			
darling_macro@0.20.11											X			
des@0.8.1		X									X			
diff@0.1.13		X									X			
digest@0.10.7		X									X			
displaydoc@0.2.5		X									X			
dns-lookup@3.0.1		X									X			
either@1.15.0		X									X			
encoding_rs@0.8.35		X			X						X			
equivalent@1.0.2		X									X			
errno@0.3.14		X									X			
