crate	0BSD	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	CC0-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	MIT-0	MPL-2.0	Unicode-3.0	Unlicense	Zlib	bzip2-1.0.6	zlib-acknowledgement
adler2@2.0.1	X	X									X							
adler32@1.2.0																X		
ahash@0.8.12		X									X							
aho-corasick@1.1.4											X				X			
alloc-no-stdlib@2.0.4					X													
alloc-stdlib@0.2.4					X													
allocator-api2@0.2.21		X									X							
android_system_properties@0.1.5		X									X							
anyhow@1.0.104		X									X							
apache-avro@0.21.0		X																
approx@0.5.1		X																
ar_archive_writer@0.5.2			X															
arc-swap@1.9.2		X									X							
arcref@0.2.0											X							
arrayref@0.3.9				X														
arrayvec@0.7.8		X									X							
arrow@58.3.0		X																
arrow-arith@58.3.0		X																
arrow-array@58.3.0		X									X							
arrow-buffer@58.3.0		X																
arrow-cast@58.3.0		X																
arrow-csv@58.3.0		X																
arrow-data@58.3.0		X																
arrow-ipc@58.3.0		X																
arrow-json@58.3.0		X																
arrow-ord@58.3.0		X																
arrow-row@58.3.0		X																
arrow-schema@58.3.0		X																
arrow-select@58.3.0		X																
arrow-string@58.3.0		X																
async-channel@2.5.0		X									X							
async-compression@0.4.42		X									X							
async-executor@1.14.0		X									X							
async-fs@2.2.0		X									X							
async-io@2.6.0		X									X							
async-lock@3.4.2		X									X							
async-net@2.0.0		X									X							
async-process@2.5.0		X									X							
async-signal@0.2.14		X									X							
async-stream@0.3.6											X							
async-stream-impl@0.3.6											X							
async-task@4.7.1		X									X							
async-trait@0.1.91		X									X							
atoi@2.0.0											X							
atomic-waker@1.1.2		X									X							
autocfg@1.5.1		X									X							
aws-lc-rs@1.17.3		X							X									
aws-lc-sys@0.43.0		X			X				X		X	X						
base64@0.22.1		X									X							
better_io@0.2.0		X																
bigdecimal@0.4.10		X									X							
bindgen@0.72.1					X													
bit-vec@0.9.1		X									X							
bitflags@2.13.1		X									X							
bitpacking@0.9.3											X							
bitvec@1.1.1											X							
blake2@0.10.6		X									X							
blake3@1.8.5		X	X				X											
block-buffer@0.10.4		X									X							
block-buffer@0.12.1		X									X							
blocking@1.6.2		X									X							
bon@3.9.3		X									X							
bon-macros@3.9.3		X									X							
brotli@8.0.4					X						X							
brotli-decompressor@5.0.3					X						X							
bumpalo@3.20.3		X									X							
bytecount@0.6.9		X									X							
bytemuck@1.25.2		X									X					X		
byteorder@1.5.0											X				X			
bytes@1.12.1											X							
bzip2@0.6.1		X									X							
cc@1.3.0		X									X							
cedarwood@0.5.0				X														
census@0.4.2											X							
cexpr@0.6.0		X									X							
cfg-if@1.0.4		X									X							
chacha20@0.10.1		X									X							
chrono@0.4.45		X									X							
chrono-tz@0.10.4		X									X							
clang-sys@1.8.1		X																
cmake@0.1.58		X									X							
cmov@0.5.4		X									X							
combine@4.6.7											X							
comfy-table@7.2.2											X							
compression-codecs@0.4.38		X									X							
compression-core@0.4.32		X									X							
concurrent-queue@2.5.0		X									X							
const-oid@0.10.2		X									X							
const-random@0.1.18		X									X							
const-random-macro@0.1.16		X									X							
const_for@0.1.6											X							
constant_time_eq@0.4.2		X					X					X						
core-foundation@0.10.1		X									X							
core-foundation@0.9.4		X									X							
core-foundation-sys@0.8.7		X									X							
core_detect@1.0.0		X									X							
cpufeatures@0.2.17		X									X							
cpufeatures@0.3.0		X									X							
crc32fast@1.5.0		X									X							
crossbeam-channel@0.5.16		X									X							
crossbeam-deque@0.8.7		X									X							
crossbeam-epoch@0.9.20		X									X							
crossbeam-utils@0.8.22		X									X							
crunchy@0.2.4											X							
crypto-common@0.1.7		X									X							
crypto-common@0.2.2		X									X							
csv@1.4.0											X				X			
csv-core@0.1.13											X				X			
ctutils@0.4.2		X									X							
custom-labels@0.4.6		X																
darling@0.23.0											X							
darling_core@0.23.0											X							
darling_macro@0.23.0											X							
dary_heap@0.3.9		X									X							
dashmap@6.2.1											X							
datafusion@54.0.0		X																
datafusion-catalog@54.0.0		X																
datafusion-catalog-listing@54.0.0		X																
datafusion-common@54.0.0		X																
datafusion-common-runtime@54.0.0		X																
datafusion-datasource@54.0.0		X																
datafusion-datasource-arrow@54.0.0		X																
datafusion-datasource-csv@54.0.0		X																
datafusion-datasource-json@54.0.0		X																
datafusion-datasource-parquet@54.0.0		X																
datafusion-doc@54.0.0		X																
datafusion-execution@54.0.0		X																
